shrimp,almonds,avocado,vegetables_mix,green_grapes,whole_weat_flour
almonds,eggs,cooking_oil,french_fries,green_tea,
almonds,cake,low_fat_yogurt,,,
avocado,eggs,chocolate,energy_drink,,
avocado,milk,butter,french_fries,cookies,
avocado,oil,cereals,french_fries,,
avocado,butter,chocolate,french_fries,cookies,strawberries
avocado,almonds,french_wine,honey,whole_wheat_rice,
avocado,energy_bar,chocolate,,,
avocado,chocolate,french_fries,,,
avocado,frozen_smoothie,low_fat_yogurt,,,
barbecue_sauce,french_fries,frozen_smoothie,,,
bug_spray,clothes_accessories,cottage_cheese,,,
burgers,herb_e_pepper,energy_bar,almonds,eggs,corn
burgers,spaghetti,mineral_water,almonds,honey,extra_dark_chocolate
burgers,grated_cheese,spaghetti,avocado,milk,oil
burgers,ground_beef,spaghetti,avocado,milk,olive_oil
burgers,shrimp,spaghetti,avocado,milk,olive_oil
burgers,shrimp,tomatoes,bacon,whole_wheat_rice,green_tea
burgers,ground_beef,honey,blueberries,gums,french_fries
burgers,mineral_water,milk,cake,chocolate,french_fries
burgers,red_wine,mineral_water,cake,green_tea,
burgers,mineral_water,whole_wheat_rice,cake,,
burgers,shrimp,mineral_water,chicken,fromage_blanc,salmon
burgers,dessert_wine,spaghetti,chicken,cake,protein_bar
burgers,ground_beef,eggs,chocolate,champagne,zucchini
burgers,ground_beef,mineral_water,chocolate,champagne,
burgers,tomatoes,mineral_water,chocolate_bread,,
burgers,chocolate,cake,cookies,green_tea,
burgers,chocolate_bread,chicken,cookies,,
burgers,bacon,eggs,cookies,green_tea,
burgers,mineral_water,eggs,cookies,,
burgers,eggs,french_fries,cookies,green_tea,
burgers,milk,cake,cooking_oil,french_fries,escalope
burgers,mineral_water,avocado,corn,escalope,
burgers,tomatoes,pepper,corn,cereals,escalope
burgers,whole_wheat_rice,ham,eggplant,,
burgers,frozen_vegetables,flax_seed,eggs,,
burgers,mineral_water,milk,eggs,whole_wheat_rice,mint
burgers,red_wine,mineral_water,eggs,oil,carrots
burgers,tomatoes,mineral_water,eggs,light_cream,oil
burgers,ground_beef,spaghetti,eggs,french_fries,
burgers,eggs,french_fries,energy_drink,,
burgers,strong_cheese,champagne,escalope,,
burgers,tomatoes,ground_beef,escalope,,
burgers,almonds,eggs,french_fries,cookies,green_tea
burgers,meatballs,eggs,french_fries,,
burgers,parmesan_cheese,eggs,french_fries,hot_dogs,
burgers,spaghetti,eggs,french_fries,,
burgers,ham,frozen_vegetables,french_fries,tomato_juice,
burgers,pancakes,green_tea,french_fries,,
burgers,spaghetti,milk,french_fries,green_tea,
burgers,dessert_wine,strong_cheese,french_fries,,
burgers,mineral_water,whole_wheat_rice,french_fries,,
burgers,oil,tomato_juice,fresh_bread,,
burgers,shrimp,pasta,frozen_vegetables,spaghetti,mineral_water
burgers,shrimp,pasta,frozen_vegetables,mineral_water,chocolate
burgers,fresh_tuna,shrimp,frozen_vegetables,whole_wheat_pasta,yams
burgers,fresh_tuna,ham,grated_cheese,frozen_vegetables,tomatoes
burgers,spaghetti,avocado,green_beans,,
burgers,french_wine,eggs,green_beans,clothes_accessories,
burgers,flax_seed,eggs,green_tea,,
burgers,mineral_water,eggs,green_tea,pancakes,
burgers,french_fries,low_fat_yogurt,green_tea,,
burgers,spaghetti,low_fat_yogurt,green_tea,,
burgers,ham,chocolate,ground_beef,spaghetti,mineral_water
burgers,chocolate,frozen_vegetables,ground_beef,mineral_water,milk
burgers,chocolate,herb_e_pepper,ground_beef,spaghetti,soup
burgers,turkey,herb_e_pepper,ground_beef,pancakes,eggs
burgers,shrimp,tomatoes,ground_beef,tomato_sauce,spaghetti
burgers,bacon,champagne,light_mayo,,
burgers,mineral_water,soup,meatballs,olive_oil,
burgers,frozen_vegetables,mineral_water,milk,fromage_blanc,cake
burgers,grated_cheese,mineral_water,milk,eggs,whole_wheat_rice
burgers,shrimp,mineral_water,milk,eggs,chocolate
burgers,whole_wheat_pasta,mineral_water,milk,pancakes,
burgers,shrimp,pasta,milk,green_tea,french_fries
burgers,pepper,soup,milk,pancakes,green_tea
burgers,spaghetti,soup,milk,olive_oil,salmon
burgers,tomatoes,spaghetti,milk,barbecue_sauce,frozen_smoothie
burgers,turkey,spaghetti,milk,whole_wheat_rice,oil
burgers,shrimp,tomatoes,milk,energy_bar,almonds
burgers,ham,grated_cheese,mineral_water,chocolate,olive_oil
burgers,grated_cheese,herb_e_pepper,mineral_water,eggs,cooking_oil
burgers,fresh_tuna,red_wine,mineral_water,french_fries,
burgers,chocolate,spaghetti,mineral_water,milk,chicken
burgers,ground_beef,spaghetti,mineral_water,avocado,french_fries
burgers,ground_beef,spaghetti,mineral_water,soup,milk
burgers,ground_beef,spaghetti,mineral_water,escalope,melons
burgers,ham,spaghetti,mineral_water,milk,eggs
burgers,shrimp,tomatoes,mineral_water,soup,pancakes
burgers,fresh_tuna,spaghetti,muffins,honey,
burgers,grated_cheese,spaghetti,nonfat_milk,eggs,gums
burgers,spaghetti,avocado,pancakes,cake,fresh_bread
burgers,ham,chocolate,pancakes,cereals,
burgers,soup,vegetables_mix,pancakes,body_spray,melons
burgers,grated_cheese,shrimp,pasta,avocado,honey
burgers,herb_e_pepper,shrimp,pasta,spaghetti,mineral_water
burgers,red_wine,frozen_vegetables,pepper,spaghetti,chocolate
burgers,tomatoes,olive_oil,protein_bar,,
burgers,mineral_water,olive_oil,rice,antioxydant_juice,frozen_smoothie
burgers,ground_beef,pancakes,salt,,
burgers,parmesan_cheese,chocolate,soup,milk,olive_oil
burgers,frozen_vegetables,mineral_water,soup,meatballs,olive_oil
burgers,spaghetti,mineral_water,soup,french_wine,french_fries
burgers,tomatoes,mineral_water,soup,milk,almonds
burgers,ham,spaghetti,soup,almonds,pancakes
burgers,ham,ground_beef,spaghetti,mineral_water,meatballs
burgers,frozen_vegetables,parmesan_cheese,spaghetti,fromage_blanc,vegetables_mix
burgers,fresh_tuna,shrimp,spaghetti,chocolate,french_wine
burgers,frozen_vegetables,tomatoes,spaghetti,mineral_water,soup
burgers,ham,tomatoes,spaghetti,milk,eggs
burgers,shrimp,whole_wheat_pasta,spaghetti,mineral_water,milk
burgers,ham,frozen_vegetables,tomatoes,cake,chicken
burgers,shrimp,frozen_vegetables,tomatoes,light_cream,extra_dark_chocolate
burgers,fresh_tuna,pickles,vegetables_mix,hot_dogs,cottage_cheese
burgers,herb_e_pepper,shrimp,whole_weat_flour,green_tea,
burgers,chocolate,shrimp,whole_wheat_pasta,ground_beef,soup
burgers,grated_cheese,shrimp,whole_wheat_pasta,olive_oil,french_fries
burgers,chocolate,tomatoes,whole_wheat_pasta,spaghetti,avocado
burgers,mineral_water,milk,whole_wheat_rice,cereals,chocolate
burgers,ham,spaghetti,whole_wheat_rice,eggplant,chocolate
burgers,eggs,champagne,,,
burgers,meatballs,eggs,,,
burgers,honey,escalope,,,
burgers,mineral_water,escalope,,,
burgers,avocado,french_fries,,,
burgers,eggs,french_fries,,,
burgers,eggs,french_fries,,,
burgers,black_tea,green_tea,,,
burgers,mineral_water,green_tea,,,
burgers,frozen_vegetables,gums,,,
burgers,milk,hot_dogs,,,
burgers,spaghetti,mineral_water,,,
burgers,chocolate,mushroom_cream_sauce,,,
burgers,ham,red_wine,,,
burgers,escalope,shallot,,,
burgers,escalope,shallot,,,
burgers,herb_e_pepper,spaghetti,,,
burgers,salt,white_wine,,,
burgers,eggs,yogurt_cake,,,
butter,bacon,eggs,carrots,french_fries,tomato_juice
butter,french_fries,salt,fresh_bread,,
butter,pancakes,whole_wheat_rice,green_tea,french_fries,cookies
butter,green_grapes,frozen_smoothie,low_fat_yogurt,,
butter,tomato_juice,magazines,low_fat_yogurt,,
butter,cake,green_tea,mushroom_cream_sauce,mint,
butter,burger_sauce,brownies,pancakes,,
butter,bug_spray,french_fries,yogurt_cake,green_tea,
cake,chicken,escalope,cottage_cheese,green_tea,
cake,french_fries,escalope,,,
cake,cookies,green_tea,,,
cake,cottage_cheese,green_tea,,,
cereals,chocolate,champagne,green_tea,,
cereals,salt,green_tea,,,
cereals,pancakes,yogurt_cake,,,
chicken,honey,whole_weat_flour,cereals,green_tea,energy_drink
chicken,eggs,french_fries,pancakes,,
chicken,rice,oatmeal,whole_weat_flour,green_tea,french_fries
chicken,muffins,honey,yogurt_cake,,
chicken,cooking_oil,chocolate_bread,,,
chicken,chocolate,cookies,,,
chicken,cider,eggs,,,
chicken,french_fries,escalope,,,
chocolate,ground_beef,blueberries,burger_sauce,green_tea,
chocolate,shrimp,milk,butter,black_tea,eggs
chocolate,frozen_vegetables,mineral_water,cake,french_fries,cottage_cheese
chocolate,olive_oil,whole_wheat_rice,cake,green_beans,frozen_smoothie
chocolate,cake,gums,champagne,protein_bar,
chocolate,spaghetti,mineral_water,chicken,tomato_juice,
chocolate,mineral_water,corn,cottage_cheese,green_tea,
chocolate,french_fries,frozen_smoothie,cottage_cheese,strawberries,light_mayo
chocolate,french_fries,mushroom_cream_sauce,cottage_cheese,low_fat_yogurt,
chocolate,milk,almonds,eggs,strawberries,white_wine
chocolate,olive_oil,pancakes,eggs,,
chocolate,red_wine,spaghetti,eggs,green_tea,
chocolate,french_fries,frozen_smoothie,escalope,fresh_bread,
chocolate,spaghetti,yams,flax_seed,salmon,frozen_smoothie
chocolate,red_wine,butter,french_fries,cookies,low_fat_yogurt
chocolate,french_fries,strawberries,fresh_bread,,
chocolate,almonds,champagne,frozen_smoothie,,
chocolate,pancakes,rice,frozen_smoothie,low_fat_yogurt,
chocolate,shrimp,pasta,frozen_vegetables,ground_beef,mineral_water
chocolate,herb_e_pepper,shrimp,frozen_vegetables,tomatoes,ground_beef
chocolate,butter,eggs,green_tea,cottage_cheese,
chocolate,frozen_vegetables,light_mayo,green_tea,,
chocolate,frozen_vegetables,tomatoes,ground_beef,tomato_sauce,spaghetti
chocolate,escalope,pasta,honey,,
chocolate,mineral_water,eggs,light_cream,bug_spray,burger_sauce
chocolate,escalope,mushroom_cream_sauce,low_fat_yogurt,,
chocolate,grated_cheese,herb_e_pepper,mineral_water,soup,olive_oil
chocolate,herb_e_pepper,shrimp,mineral_water,chicken,pancakes
chocolate,pepper,spaghetti,mineral_water,whole_wheat_rice,champagne
chocolate,tomatoes,spaghetti,mineral_water,avocado,milk
chocolate,milk,eggs,oatmeal,french_fries,
chocolate,shrimp,milk,olive_oil,cider,cooking_oil
chocolate,parmesan_cheese,mineral_water,olive_oil,bacon,
chocolate,red_wine,tomato_sauce,olive_oil,french_fries,
chocolate,spaghetti,mineral_water,pancakes,cake,cookies
chocolate,whole_wheat_pasta,bacon,salmon,hot_dogs,low_fat_yogurt
chocolate,grated_cheese,mineral_water,salmon,whole_wheat_rice,burger_sauce
chocolate,spaghetti,mineral_water,soup,muffins,eggs
chocolate,spaghetti,mineral_water,soup,butter,eggs
chocolate,grated_cheese,parmesan_cheese,spaghetti,pancakes,eggs
chocolate,grated_cheese,shrimp,spaghetti,olive_oil,honey
chocolate,pepper,tomato_sauce,tomato_juice,,
chocolate,grated_cheese,herb_e_pepper,whole_wheat_pasta,almonds,oatmeal
chocolate,spaghetti,champagne,yogurt_cake,,
chocolate,french_fries,strawberries,yogurt_cake,light_mayo,
chocolate,rice,eggplant,zucchini,,
chocolate,eggs,bug_spray,,,
chocolate,spaghetti,bug_spray,,,
chocolate,cookies,chocolate_bread,,,
chocolate,milk,clothes_accessories,,,
chocolate,shallot,energy_drink,,,
chocolate,french_fries,escalope,,,
chocolate,frozen_smoothie,escalope,,,
chocolate,escalope,fresh_bread,,,
chocolate,cookies,green_tea,,,
chocolate,eggs,low_fat_yogurt,,,
chocolate,frozen_smoothie,low_fat_yogurt,,,
chocolate,champagne,magazines,,,
chocolate,spaghetti,mineral_water,,,
chocolate,milk,olive_oil,,,
chocolate,brownies,pancakes,,,
chocolate,red_wine,spaghetti,,,
chocolate,red_wine,spaghetti,,,
chocolate,french_fries,strawberries,,,
chocolate,herb_e_pepper,yogurt_cake,,,
chocolate_bread,mushroom_cream_sauce,salt,,,
cider,eggs,chocolate,low_fat_yogurt,,
clothes_accessories,french_fries,frozen_smoothie,escalope,,
cookies,yogurt_cake,light_mayo,green_tea,,
cookies,hot_dogs,green_tea,,,
cookies,shallot,strawberries,,,
dessert_wine,burgers,cake,frozen_smoothie,toothpaste,
dessert_wine,grated_cheese,shrimp,frozen_vegetables,ground_beef,spaghetti
dessert_wine,frozen_vegetables,tomatoes,parmesan_cheese,mineral_water,soup
dessert_wine,herb_e_pepper,tomatoes,yams,mineral_water,cake
dessert_wine,eggs,french_fries,,,
dessert_wine,mineral_water,milk,,,
eggs,french_fries,frozen_smoothie,cookies,champagne,cottage_cheese
eggs,french_fries,brownies,green_tea,,
eggs,whole_wheat_rice,cake,green_tea,escalope,
eggs,honey,salt,green_tea,,
eggs,french_fries,energy_drink,light_mayo,low_fat_yogurt,
eggs,whole_weat_flour,eggplant,strawberries,low_fat_yogurt,
eggs,chicken,whole_weat_flour,strawberries,low_fat_yogurt,
eggs,whole_wheat_rice,chocolate,,,
eggs,whole_wheat_rice,chocolate,,,
eggs,eggplant,cookies,,,
eggs,eggplant,cookies,,,
eggs,french_fries,energy_drink,,,
eggs,burger_sauce,escalope,,,
eggs,cake,french_fries,,,
eggs,chocolate,french_fries,,,
eggs,eggplant,french_fries,,,
eggs,cookies,green_tea,,,
eggs,french_fries,green_tea,,,
eggs,cake,low_fat_yogurt,,,
eggs,cooking_oil,low_fat_yogurt,,,
eggs,escalope,low_fat_yogurt,,,
eggs,french_fries,low_fat_yogurt,,,
eggs,mushroom_cream_sauce,low_fat_yogurt,,,
eggs,cake,mushroom_cream_sauce,,,
eggs,pasta,mushroom_cream_sauce,,,
energy_bar,eggs,french_fries,champagne,body_spray,
energy_bar,black_tea,eggs,chicken,champagne,light_mayo
energy_bar,cake,cottage_cheese,gluten_free_bar,,
energy_bar,eggs,cottage_cheese,green_tea,,
energy_bar,chocolate,champagne,,,
energy_bar,cake,chocolate,,,
energy_bar,eggs,french_fries,,,
energy_bar,french_fries,pancakes,,,
flax_seed,chocolate,champagne,escalope,,
flax_seed,cake,green_tea,french_fries,mushroom_cream_sauce,hot_dogs
flax_seed,green_tea,fresh_bread,,,
french_fries,pancakes,yogurt_cake,low_fat_yogurt,green_tea,
french_fries,cookies,shallot,tomato_juice,fresh_bread,low_fat_yogurt
french_fries,escalope,champagne,,,
french_fries,pancakes,gluten_free_bar,,,
french_fries,cookies,green_tea,,,
french_fries,pancakes,yogurt_cake,,,
french_wine,eggs,french_fries,green_tea,,
french_wine,eggs,chocolate,low_fat_yogurt,,
french_wine,cake,fresh_bread,,,
fresh_tuna,mineral_water,soup,avocado,,
fresh_tuna,mineral_water,pancakes,cake,oil,extra_dark_chocolate
fresh_tuna,mineral_water,honey,cooking_oil,,
fresh_tuna,frozen_vegetables,strong_cheese,cottage_cheese,tomato_juice,low_fat_yogurt
fresh_tuna,mineral_water,cider,eggs,brownies,low_fat_yogurt
fresh_tuna,tomatoes,mineral_water,eggs,honey,low_fat_yogurt
fresh_tuna,chocolate,milk,french_wine,muffins,pancakes
fresh_tuna,spaghetti,olive_oil,french_wine,eggs,french_fries
fresh_tuna,mineral_water,avocado,fromage_blanc,chocolate,french_fries
fresh_tuna,frozen_vegetables,chicken,fromage_blanc,honey,light_mayo
fresh_tuna,avocado,vegetables_mix,green_grapes,honey,whole_weat_flour
fresh_tuna,mineral_water,fromage_blanc,honey,gums,chocolate
fresh_tuna,herb_e_pepper,spaghetti,low_fat_yogurt,,
fresh_tuna,herb_e_pepper,parmesan_cheese,milk,olive_oil,pancakes
fresh_tuna,shrimp,pasta,mineral_water,olive_oil,eggs
fresh_tuna,frozen_vegetables,spaghetti,mineral_water,honey,whole_wheat_rice
fresh_tuna,parmesan_cheese,cider,muffins,spinach,honey
fresh_tuna,spaghetti,chocolate,olive_oil,chicken,french_fries
fresh_tuna,frozen_vegetables,parmesan_cheese,pepper,spaghetti,milk
fresh_tuna,spaghetti,mineral_water,salmon,,
fresh_tuna,spaghetti,mineral_water,salmon,,
fresh_tuna,tomatoes,mineral_water,soup,avocado,meatballs
fresh_tuna,turkey,herb_e_pepper,spaghetti,mineral_water,mint
fresh_tuna,red_wine,pepper,spaghetti,fromage_blanc,salmon
fresh_tuna,tomatoes,tomato_sauce,spaghetti,chocolate,eggs
fresh_tuna,eggs,escalope,strawberries,,
fresh_tuna,herb_e_pepper,frozen_vegetables,tomatoes,spaghetti,mineral_water
fresh_tuna,mineral_water,french_wine,vegetables_mix,eggs,rice
fresh_tuna,grated_cheese,meatballs,whole_weat_flour,green_tea,
fresh_tuna,chocolate,shrimp,whole_wheat_pasta,pepper,mineral_water
fresh_tuna,pepper,spaghetti,whole_wheat_rice,cooking_oil,
fresh_tuna,eggs,champagne,,,
fresh_tuna,barbecue_sauce,eggplant,,,
fresh_tuna,mineral_water,eggs,,,
fresh_tuna,chocolate,french_fries,,,
fromage_blanc,mushroom_cream_sauce,low_fat_yogurt,,,
frozen_vegetables,whole_wheat_pasta,carrots,antioxydant_juice,french_fries,
frozen_vegetables,mineral_water,almonds,bacon,eggs,barbecue_sauce
frozen_vegetables,spaghetti,milk,bacon,barbecue_sauce,low_fat_yogurt
frozen_vegetables,spaghetti,mineral_water,barbecue_sauce,chocolate,
frozen_vegetables,spaghetti,olive_oil,butter,salmon,oil
frozen_vegetables,pancakes,eggs,cake,,
frozen_vegetables,mineral_water,pancakes,cake,tomato_juice,
frozen_vegetables,tomatoes,mineral_water,chicken,green_grapes,eggs
frozen_vegetables,tomatoes,spaghetti,chicken,french_fries,escalope
frozen_vegetables,meatballs,eggs,chocolate,,
frozen_vegetables,spaghetti,milk,chocolate,chocolate_bread,
frozen_vegetables,pepper,mineral_water,chocolate,white_wine,
frozen_vegetables,spaghetti,milk,cider,french_fries,
frozen_vegetables,parmesan_cheese,mineral_water,eggplant,chocolate,frozen_smoothie
frozen_vegetables,soup,almonds,eggs,french_fries,
frozen_vegetables,mineral_water,french_wine,eggs,cereals,chocolate
frozen_vegetables,milk,fromage_blanc,eggs,chocolate,french_fries
frozen_vegetables,soup,milk,eggs,whole_wheat_rice,chocolate
frozen_vegetables,spaghetti,chocolate,escalope,fresh_bread,
frozen_vegetables,tomatoes,french_fries,escalope,,
frozen_vegetables,parmesan_cheese,spaghetti,escalope,,
frozen_vegetables,mineral_water,vegetables_mix,escalope,,
frozen_vegetables,cider,eggs,french_fries,,
frozen_vegetables,milk,eggs,french_fries,green_tea,
frozen_vegetables,whole_wheat_pasta,milk,french_fries,mushroom_cream_sauce,
frozen_vegetables,spaghetti,brownies,fresh_bread,,
frozen_vegetables,almonds,eggs,fresh_bread,mint,
frozen_vegetables,spaghetti,mineral_water,frozen_smoothie,cottage_cheese,green_tea
frozen_vegetables,avocado,whole_weat_flour,frozen_smoothie,,
frozen_vegetables,parmesan_cheese,oil,green_beans,chocolate_bread,frozen_smoothie
frozen_vegetables,tomatoes,eggs,green_tea,frozen_smoothie,light_mayo
frozen_vegetables,tomatoes,parmesan_cheese,ground_beef,tomato_sauce,milk
frozen_vegetables,mineral_water,eggs,gums,cooking_oil,frozen_smoothie
frozen_vegetables,yams,chicken,honey,light_mayo,
frozen_vegetables,mineral_water,energy_bar,honey,rice,green_tea
frozen_vegetables,spaghetti,french_fries,light_mayo,green_tea,
frozen_vegetables,soup,eggs,low_fat_yogurt,,
frozen_vegetables,ground_beef,mineral_water,milk,olive_oil,pancakes
frozen_vegetables,spaghetti,mineral_water,milk,black_tea,french_wine
frozen_vegetables,mineral_water,soup,milk,olive_oil,
frozen_vegetables,tomatoes,ground_beef,mineral_water,milk,eggs
frozen_vegetables,tomatoes,ground_beef,mineral_water,milk,energy_bar
frozen_vegetables,whole_wheat_pasta,ground_beef,mineral_water,chocolate,milk
frozen_vegetables,tomatoes,spaghetti,mineral_water,fresh_bread,white_wine
frozen_vegetables,ground_beef,tomato_sauce,mineral_water,meatballs,olive_oil
frozen_vegetables,spaghetti,yams,mineral_water,french_wine,green_grapes
frozen_vegetables,spaghetti,yams,mineral_water,,
frozen_vegetables,tomatoes,parmesan_cheese,muffins,spinach,eggs
frozen_vegetables,ground_beef,salmon,muffins,chocolate,magazines
frozen_vegetables,ground_beef,mineral_water,olive_oil,pancakes,
frozen_vegetables,ground_beef,spaghetti,olive_oil,whole_wheat_rice,eggplant
frozen_vegetables,cake,cookies,pancakes,,
frozen_vegetables,whole_wheat_pasta,milk,pancakes,whole_wheat_rice,french_fries
frozen_vegetables,ground_beef,spaghetti,pancakes,honey,whole_wheat_rice
frozen_vegetables,mineral_water,chicken,salmon,eggs,pancakes
frozen_vegetables,ground_beef,mineral_water,salmon,honey,extra_dark_chocolate
frozen_vegetables,spaghetti,mineral_water,salmon,cake,body_spray
frozen_vegetables,almonds,pancakes,soda,,
frozen_vegetables,ground_beef,mineral_water,soup,milk,salmon
frozen_vegetables,spaghetti,mineral_water,soup,green_grapes,eggs
frozen_vegetables,spaghetti,mineral_water,soup,olive_oil,escalope
frozen_vegetables,tomatoes,mineral_water,soup,milk,salmon
frozen_vegetables,tomatoes,mineral_water,soup,milk,vegetables_mix
frozen_vegetables,tomatoes,ground_beef,spaghetti,avocado,olive_oil
frozen_vegetables,whole_wheat_pasta,ground_beef,spaghetti,milk,eggs
frozen_vegetables,whole_wheat_pasta,ground_beef,spaghetti,chocolate,green_tea
